,Company,0214price,0214amt,0514price,0514amt,0814price,0814amt,1114price,1114amt,0214-0514chng,0514-0814chng,0814-1114chng
0,1 800 FLOWERS COM,5.409869915341731,48430,5.6371576022231045,37785,5.8078830592534585,30648,7.2109448313330375,20247,-10645,-7137,-10401
1,1ST SOURCE CORP,31.928268925357337,60448,32.08439287984743,50336,30.621485584314385,47483,28.484152263589372,38302,-10112,-2853,-9181
2,3-D SYS CORP DEL,92.93365135803721,158059,59.14999384136057,1404531,59.7998762878272,2179252,46.3702328720891,1777800,1246472,774721,-401452
3,3M CO,140.24991166091652,1904593,135.66002199441292,2373330,143.23974741576305,2803342,141.68012574557966,2126198,468737,430012,-677144
4,58 COM INC,38.362068965517246,16240,41.63091073118138,45447,54.0597491839072,1679956,37.249790709759154,2582538,29207,1634509,902582
5,8X8 INC NEW,10.130041462495287,21224,10.8018517460136,17497,8.06097828471156,18236,6.662998960816675,16359,-3727,739,-1877
6,AAON INC,31.952129500909386,181991,27.87738476535301,114896,33.523768459631356,74216,17.020497803806734,10928,-67095,-40680,-63288
7,AAR CORP,28.008015301940066,307412,25.94907215310272,156653,27.56131224121457,188380,24.14475130027105,136510,-150759,31727,-51870
8,AARONS INC,29.397646542502127,145828,30.23730794407096,355951,35.64002277396836,161588,24.316015510342805,129462,210123,-194363,-32126
9,ABB LTD,26.55896320624917,450620,25.789025836728378,775640,23.02010077491707,756339,22.409756811661328,833387,325020,-19301,77048
10,ABBOTT LABS,38.329961033387264,14397197,38.50998673543172,16706160,40.899967905234455,16036883,41.59002367312687,15458034,2308963,-669277,-578849
11,ABBVIE INC,52.81003388148444,8415806,51.400088633821056,7306466,56.44012451179741,7759586,57.76013656962729,10136368,-1109340,453120,2376782
12,ABERCROMBIE & FITCH CO,32.91042663943,812630,38.4991415956544,511414,43.251962636645004,358319,36.33933269494111,305977,-301216,-153095,-52342
13,ABIOMED INC,26.741984607153142,97188,26.037488148202172,82266,25.137663965617584,44674,24.825757108493185,32426,-14922,-37592,-12248
14,ABM INDS INC,28.58905930925677,157193,28.7498872553441,44348,26.965305226174788,11385,25.70165202972425,32566,-112845,-32963,21181
15,ABRAXAS PETE CORP,3.2638001986660985,49329,3.9622641509433967,15900,6.258878116257576,161211,5.2784928290571695,176755,-33429,145311,15544
16,ACACIA RESH CORP,14.528973229413758,23608,15.266156311198149,22468,17.75940597848968,26127,15.481822091369214,30229,-1140,3659,4102
17,ACADIA HEALTHCARE COMPANY IN,47.3301860790893,395477,45.12091209676672,431884,45.50099473260699,607701,48.49871103820014,533375,36407,175817,-74326
18,ACADIA PHARMACEUTICALS INC,24.989490120713466,499530,24.32813759742005,297680,22.59105002660857,400247,24.75943345226511,231225,-201850,102567,-169022
19,ACADIA RLTY TR,24.830262725672803,1838724,26.379804592570554,2520375,28.09001424695043,2839906,27.5800705187958,2714170,681651,319531,-125736
20,ACCELERATE DIAGNOSTICS INC,12.201099792340667,336609,21.809511620521132,210963,26.001251564455572,95880,21.477968510824407,146336,-125646,-115083,50456
21,ACCENTURE PLC IRELAND,82.21984331317951,2822956,79.72029218283927,2244485,80.83982350830814,2305151,81.32005719240651,2210783,-578471,60666,-94368
22,ACCESS MIDSTREAM PARTNERS L,56.58004528157486,6020992,57.550021064436464,8784949,63.54999589311902,10031944,63.63992692758779,9804521,2763957,1246995,-227423
23,ACCO BRANDS CORP,6.7219995581784335,158435,6.161878186296573,122203,6.415694591728526,132020,6.899339257745618,178133,-36232,9817,46113
24,ACCURAY INC,8.692519028960051,111015,9.600390986088145,998501,8.799241200101942,380601,7.2588573001454915,254310,887486,-617900,-126291
25,ACCURIDE CORP NEW,3.723395043555063,57743,4.427471624623436,65726,4.9018106062927,32641,3.768675131230652,22289,7983,-33085,-10352
26,ACE LTD,103.53034549765495,1000412,99.05999861022413,2417656,103.70010440717395,4566736,104.86994279160038,3326959,1417244,2149080,-1239777
27,ACETO CORP,25.00273433227606,45715,20.076045627376427,46025,18.144057396393848,52965,19.289930988608962,12027,310,6940,-40938
28,ACHILLION PHARMACEUTICALS IN,3.3190626850153184,2396761,3.2902762172362343,2410132,7.569917301027412,2664362,9.980061465155721,3613104,13371,254230,948742
29,ACI WORLDWIDE INC,65.00110546097723,149259,59.19190702715722,83035,55.83136026884595,314232,18.759273196430488,232525,-66224,231197,-81707
30,ACORDA THERAPEUTICS INC,29.200282071389772,1493239,37.91018811422735,1155415,33.710928447770556,293436,33.876353847911936,236271,-337824,-861979,-57165
31,ACORN ENERGY INC,4.070812026485407,79591,3.4108798320797624,11434,2.3638448756055888,42727,1.5418549371479966,46697,-68157,31293,3970
32,ACTAVIS PLC,168.00011934409238,1072529,205.8504232821711,1331972,223.05012830845908,1079430,241.2803016201788,1262515,259443,-252542,183085
33,ACTIVISION BLIZZARD INC,17.83046766550786,2403919,20.44013336183365,2035065,22.30018700042777,3303201,20.79039763719608,2477057,-368854,1268136,-826144
34,ACTUANT CORP,36.639943333655296,1490832,34.15022724410345,1564177,34.56973611490166,2194781,30.519849754570945,2105089,73345,630604,-89692
35,ACTUATE CORP,7.712920170590031,291459,6.022998176973776,285240,4.768639710077772,289181,3.898845424780286,278544,-6219,3941,-10637
36,ACUITY BRANDS INC,109.3199289199564,101857,132.5707128361238,126144,138.25570623699676,131698,117.71078515424064,128306,24287,5554,-3392
37,ACURA PHARMACEUTICALS INC,1.664417453891138,22230,1.452630623269327,22029,1.0908209437621204,24752,0.7950123436127035,23899,-201,2723,-853
38,ACXIOM CORP,36.97871461045671,241950,34.392448051574284,138984,21.691775172540197,141851,16.550210044119822,189484,-102966,2867,47633
39,ADAMS EXPRESS CO,13.071286525610475,279085,12.97879901281579,306731,13.750561162562557,240572,13.935728117316856,91922,27646,-66159,-148650
40,ADOBE SYS INC,59.879299505088476,5166176,65.74006210581133,4147760,72.36014121163706,2910525,69.18998613958091,2479723,-1018416,-1237235,-430802
41,ADTRAN INC,27.00993713408001,1227215,24.410293478720583,1300435,22.559985759215746,1269593,20.530107803718792,1246803,73220,-30842,-22790
42,ADVANCE AUTO PARTS INC,110.68654176449269,126926,126.5001328085384,165652,134.92222950919106,263789,130.3002979457425,510160,38726,98137,246371
43,ADVANCED ENERGY INDS,22.85913510242208,152018,24.496833521297823,92216,19.256099855736057,95658,18.793153521139953,106741,-59802,3442,11083
44,ADVANCED MICRO DEVICES INC,3.8699589101016403,2903390,4.009815899862101,2595381,4.189952037458155,2474014,3.4099545926353545,4202402,-308009,-121367,1728388
45,ADVANTAGE OIL & GAS LTD,4.341245155602868,60121,4.927884615384615,58240,6.719506988658512,53873,5.0906406046592965,51467,-1881,-4367,-2406
46,ADVENT SOFTWARE INC,34.951190584800656,109610,29.35575304851044,135476,32.5654576996006,123935,31.56164068838265,139283,25866,-11541,15348
47,ADVISORY BRD CO,63.66906854315466,94787,64.25495262704565,46440,51.851740425403904,66478,46.59084884152484,150888,-48347,20038,84410
48,AECOM TECHNOLOGY CORP DELAWA,29.429458870504146,224401,32.170076213397515,174510,32.19938778920025,317211,33.751177196605,341914,-49891,142701,24703
49,AEGERION PHARMACEUTICALS INC,70.95870699180307,155668,46.179454922017925,182029,32.091117041555464,104920,33.37915500422332,301895,26361,-77109,196975
50,AEGION CORP,21.888497116304737,115997,25.30544626216608,24145,23.28548644338118,21945,22.25932109070673,19767,-91852,-2200,-2178
51,AEGON N V,9.478611644411846,463570,9.199482223832355,491332,8.769534271271182,523631,8.220953030432188,586550,27762,32299,62919
52,AERCAP HOLDINGS NV,38.34910832804294,693080,42.19182426556396,403609,45.79966115912641,302797,40.89914037054835,206019,-289471,-100812,-96778
53,AEROPOSTALE,9.088752483468255,202338,5.020654591674612,47205,3.4876468566628063,78563,3.2964256179362317,87064,-155133,31358,8501
54,AEROVIRONMENT INC,29.14011557923681,525873,40.251318751469945,535734,31.800306050442824,504492,30.06915508454716,503506,9861,-31242,-986
55,AES CORP,14.509864561256695,3847865,14.28004208716818,3669527,15.550002167257187,3668231,14.179941264437813,3474556,-178338,-1296,-193675
56,AETNA INC NEW,68.59005791754903,4920961,74.96998757867418,2882140,81.08053487354316,1434956,81.00021134358906,1708119,-2038821,-1447184,273163
57,AFFILIATED MANAGERS GROUP,216.88174602353283,193262,200.05291160821892,170095,205.3985245684555,234101,200.36113300567902,458003,-23167,64006,223902
58,AFFYMETRIX INC,8.571295786056208,301238,7.128419397371983,287441,8.908976594659359,252891,7.977671392395705,270505,-13797,-34550,17614
59,AFLAC INC,66.79941253239801,1638218,63.039969767549,1280743,62.24997115251313,1204611,58.249972742314824,834627,-357475,-76132,-369984
60,AG MTG INVT TR INC,15.655899802241269,12136,17.508884458698102,11537,19.024970273483948,5046,17.807947457739186,45373,-599,-6491,40327
61,AGCO CORP,59.18914146313814,458699,55.16079444136997,406575,56.219897201503116,476077,45.45821348903965,346978,-52124,69502,-129099
62,AGILENT TECHNOLOGIES INC,57.189960848387564,13087839,55.920105687305266,12582022,57.44006727271202,12522165,56.980059852402526,9918733,-505817,-59857,-2603432
63,AGILYSYS INC,13.919484858021256,82618,13.405157735054646,32301,14.064507404151735,29578,11.721187271592836,22438,-50317,-2723,-7140
64,AGL RES INC,47.22842471229988,337678,48.96038898184902,399813,55.02861915425978,571121,51.340646656644594,429718,62135,171308,-141403
65,AGNICO EAGLE MINES LTD,26.37927733253098,365590,30.25004204314391,523272,38.30078165183496,631867,29.03211699580544,548806,157682,108595,-83061
66,AGRIUM INC,91.48201196393968,237380,97.51987848450001,325226,91.63327244820714,287974,88.99967543005518,385125,87846,-37252,97151
67,AIR LEASE CORP,31.08224155014863,227075,37.289053077427134,421196,38.58078940923428,600221,32.49928428285143,261975,194121,179025,-338246
68,AIR METHODS CORP,58.260693290087175,73995,53.4285310335077,212190,51.650199806422556,834808,55.551368056079,636816,138195,622618,-197992
69,AIR PRODS & CHEMS INC,111.77985571505918,683370,119.03925553594776,717402,128.62047209500142,782978,130.18073845531714,534142,34032,65576,-248836
70,AIRCASTLE LTD,19.159840702357787,176776,19.373904626418025,136369,17.768767515353886,134168,16.363415747476438,173069,-40407,-2201,38901
71,AIRGAS INC,111.85029865463736,2205725,106.51014408961399,2234651,108.90991156891708,2041816,110.64992100259757,1979179,28926,-192835,-62637
72,AIXTRON SE,14.521013685323277,140004,16.299164001571008,142584,14.542679447677735,140208,15.126966147140214,139486,2580,-2376,-722
73,AK STL HLDG CORP,8.200109710259037,887793,7.220399701139529,808404,7.959969993291839,5444116,8.009976001795794,7060945,-79389,4635712,1616829
74,AKAMAI TECHNOLOGIES INC,47.1798232791348,933789,58.21093058851614,569704,61.06090288889469,651841,59.79906844622679,574524,-364085,82137,-77317
75,AKORN INC,24.619360542714077,235262,21.997654354706555,311215,33.252049828078945,310026,36.276653909240025,36580,75953,-1189,-273446
76,ALAMOS GOLD INC,12.129409218783813,184840,9.016191456361344,275948,10.140204481696992,321887,7.95835348730387,287371,91108,45939,-34516
77,ALASKA AIR GROUP INC,73.37097410377837,806218,93.31101873346651,648305,95.05079438629008,569748,43.54000057399479,801401,-157913,-78557,231653
78,ALASKA COMMUNICATIONS SYS GR,2.110823323068138,98066,1.9328042110457704,97268,1.8052198390600616,98049,1.5691819561318805,115984,-798,781,17935
79,ALBANY INTL CORP,35.929226247404884,171476,35.54633837049561,75704,37.96886667815498,17409,34.043198947847635,19769,-95772,-58295,2360
80,ALBANY MOLECULAR RESH INC,10.0797751690105,180758,18.58905829968759,96347,20.13000629062697,14307,22.086326663895978,16843,-84411,-82040,2536
81,ALBEMARLE CORP,63.38959504907367,254821,66.41989084843112,353087,71.49630675415357,235159,58.902479943873345,229481,98266,-117928,-5678
82,ALCATEL-LUCENT,4.4005295093002985,664011,3.899863520985675,925417,3.5598138848616863,2141685,3.0298631941161287,2142671,261406,1216268,986
83,ALCOA INC,10.62997121904768,3751092,12.869870882820644,3154344,14.889603248456135,3546300,16.93268170973421,3818769,-596748,391956,272469
84,ALERE INC,36.199294604656785,612139,34.35001398593652,722154,37.411541986567904,66557,38.776211756617386,101815,110015,-655597,35258
85,ALEXANDER & BALDWIN INC NEW,41.730659528720004,113945,42.568830795289294,62581,41.4474732982624,56457,35.965404333589895,76657,-51364,-6124,20200
86,ALEXANDERS INC,330.1387970918705,3026,360.9431680773882,3308,369.3869582194455,2561,373.8852046649897,4373,282,-747,1812
87,ALEXANDRIA REAL ESTATE EQ IN,63.61621229332323,253536,72.55755433953013,216187,77.63970704160755,279084,73.75048398229045,297015,-37349,62897,17931
88,ALEXION PHARMACEUTICALS INC,132.8841932299983,1075982,152.13063148060363,1086415,156.2498546058539,859732,165.81983373407982,683724,10433,-226683,-176008
89,ALEXZA PHARMACEUTICALS INC,4.729674978782566,468954,4.430907986558705,457694,4.570216735952852,486629,2.3306331176177757,486134,-11260,28935,-495
90,ALIGN TECHNOLOGY INC,57.13829884219163,263256,51.794370442787894,147294,56.03996146341858,247038,51.67973068533809,502015,-115962,99744,254977
91,ALIMERA SCIENCES INC,4.700960901259112,48288,7.891189982753872,138002,5.983098591549297,88750,5.417494339412966,143978,89714,-49252,55228
92,ALKERMES PLC,40.661941482975934,320693,44.09056352171597,491942,50.33061549764632,417857,42.870460124863975,538506,171249,-74085,120649
93,ALLEGHANY CORP DEL,399.97411450019416,23179,407.37340207641785,28318,438.11033927313,39732,418.1365679215194,41386,5139,11414,1654
94,ALLEGHENY TECHNOLOGIES INC,35.62960620034103,420493,37.68065902065465,307001,45.1022893468748,343242,37.098248497327035,216614,-113492,36241,-126628
95,ALLEGIANT TRAVEL CO,105.43662282239565,99823,111.92401488897444,54537,117.76893751035969,36198,123.65201412060543,20679,-45286,-18339,-15519
96,ALLEGION PUB LTD CO,44.18923485152987,1186737,52.171339982354795,550858,56.67965672030263,560942,47.6402001445386,434486,-635879,10084,-126456
97,ALLERGAN INC,111.07979162658695,1866073,124.10008659587075,1097050,169.2203846041319,1435554,178.18979699708404,1076487,-769023,338504,-359067
98,ALLETE INC,49.87972356879661,928694,52.42048876645307,1098807,51.34937377480647,1098806,44.3900902436391,1120633,170113,-1,21827
99,ALLIANCE DATA SYSTEMS CORP,262.922382399378,126041,272.4554557082685,122743,281.2522768006761,137254,248.26984539757905,119209,-3298,14511,-18045
100,ALLIANCE FIBER OPTIC PRODS I,15.049205147615444,33025,14.47294863034971,16099,18.075878964444147,15103,12.404986318029795,16445,-16926,-996,1342
101,ALLIANCE HEALTHCARE SRVCS IN,24.71522625143693,19138,33.57400722021661,8310,26.984283878620143,10117,22.58889967351981,11333,-10828,1807,1216
102,ALLIANCE HOLDINGS GP LP,58.62964923254582,332528,62.121386687364705,329822,64.7897428326865,772221,68.23971937465586,808195,-2706,442399,35974
103,ALLIANCE NEW YORK MUN INC FD,11.865142526407174,13822,12.51627839675879,13822,12.805672116915064,13822,12.588626826797856,13822,0,0,0
104,ALLIANCE ONE INTL INC,3.0496576811833176,1188658,2.9190204139177363,312091,2.4990030572909747,263305,1.968306364376443,179342,-876567,-48786,-83963
105,ALLIANCE RES PARTNER L P,77.01213746791966,51823,84.14054573610295,187270,46.64993470062873,626346,42.84100148892807,757592,135447,439076,131246
106,ALLIANCEBERNSTEIN GBL HGH IN,14.294735633503645,17419,14.759561974289793,12602,14.342453662842011,13596,13.622352590235655,10057,-4817,994,-3539
107,ALLIANCEBERNSTEIN HOLDING LP,21.340625515308087,291088,24.96959064512007,633851,25.880018051652346,779984,26.00966909800252,782286,342763,146133,2302
108,ALLIANCEBERNSTEIN INCOME FUN,7.129521050723588,587557,7.339495020710321,363104,7.519223090892697,388205,7.500604887490926,438098,-224453,25101,49893
109,ALLIANT ENERGY CORP,51.59971177023552,273393,56.8108628280027,263946,60.85905791609828,475032,55.410144007497756,499349,-9447,211086,24317
110,ALLIANT TECHSYSTEMS INC,121.68170715654296,136742,142.14400912811172,91147,133.91907800978996,403475,127.64058338598343,1315287,-45595,312328,911812
111,ALLIED NEVADA GOLD CORP,3.549702703816102,145646,4.309917252895322,967768,3.759551086261657,1182588,3.309981560376304,2098199,822122,214820,915611
112,ALLIED WRLD ASSUR COM HLDG A,112.814569156444,174286,103.18969950224913,200301,38.019886028448454,1305238,36.84027436175911,1555173,26015,1104937,249935
113,ALLISON TRANSMISSION HLDGS I,27.608773454675603,58677,29.928172386272944,62650,31.09387520899081,101081,28.48444377427856,139269,3973,38431,38188
114,ALLSCRIPTS HEALTHCARE SOLUTN,15.459961327512007,7970007,18.03007634034949,7477173,16.05004038286392,8961722,13.414981347005535,8356031,-492834,1484549,-605691
115,ALLSTATE CORP,54.53998227657099,1731042,56.58038950630231,1520951,58.719981124059906,1720709,61.369551156918924,1365221,-210091,199758,-355488
116,ALNYLAM PHARMACEUTICALS INC,64.29948950652297,440750,67.13956015443172,512589,63.16871806801856,563111,78.10122481855349,571105,71839,50522,7994
117,ALON USA ENERGY INC,16.5401604860007,1179916,14.9403298397683,1535776,12.439765129032171,1443516,14.359958993701715,1289558,355860,-92260,-153958
118,ALON USA PARTNERS LP,16.6865315852205,16780,16.660329105807445,268242,17.929909425879874,881488,17.709911541647532,931964,251462,613246,50476
119,ALPHA & OMEGA SEMICONDUCTOR,7.707252846063682,62279,7.362458186952647,59491,9.27849997583724,41386,9.41351994600547,28151,-2788,-18105,-13235
120,ALPHA NATURAL RESOURCES INC,7.139947254443706,1539087,4.249430181968702,562899,3.709703887071377,572822,2.480113722287754,132252,-976188,9923,-440570
121,ALPHATEC HOLDINGS INC,1.9803488460659608,13129,1.539436747260708,11043,1.6256032512065024,98425,1.7049101412066752,99712,-2086,87382,1287
122,ALPINE TOTAL DYNAMIC DIVID F,4.203132197144173,17368,8.394366197183098,17750,8.897398355670683,17758,8.501778433243691,34581,382,8,16823
123,ALPS ETF TR,18.124144610982626,6384522,17.893764818017242,9554669,19.13536805110885,9490489,19.169892011138607,6861541,3170147,-64180,-2628948
124,ALTERA CORP,32.51099075361934,19353086,36.23492342550422,17127896,34.759998091493614,8299684,35.77999157648636,8725575,-2225190,-8828212,425891
125,ALTISOURCE PORTFOLIO SOLNS S,158.70032223415683,3724,121.67228386412692,26407,114.63844797178129,3969,100.82191780821918,5475,22683,-22438,1506
126,ALTISOURCE RESIDENTIAL CORP,30.136739834472827,11116,31.563661213855553,46826,26.02069933521509,64833,23.980068514481466,12844,35710,18007,-51989
127,ALTRA INDL MOTION CORP,34.214082797804565,72514,35.70086433671553,13305,36.39921722113503,7665,29.124820659971302,13940,-59209,-5640,6275
128,ALTRIA GROUP INC,38.39001328900582,8433287,37.42980731716407,6359103,41.939944783572585,7685394,45.93996079542407,6095717,-2074184,1326291,-1589677
129,ALUMINUM CORP CHINA LTD,8.69157905693765,19214,8.633093525179858,20155,8.990266736013076,13459,10.123734533183352,16002,941,-6696,2543
130,AMAG PHARMACEUTICALS INC,24.280025088603573,132331,19.349000879728546,198925,20.72169224388221,60275,31.91500475329858,95723,66594,-138650,35448
131,AMARIN CORP PLC,1.9707407144378952,225296,1.8098723989403651,296706,1.7597190091970885,283568,1.0894014907599348,453460,71410,-13138,169892
132,AMAZON COM INC,398.7895449522029,3318091,336.36508147042656,2962977,324.78033368011404,3244125,322.4404776968869,2844984,-355114,281148,-399141
133,AMBAC FINL GROUP INC,24.559798765149782,21865,31.02348506813569,17245,27.293033645120765,28652,22.112564591964997,21481,-4620,11407,-7171
134,AMBARELLA INC,33.88831589804037,20361,26.715072114910328,50683,31.184164833892808,86390,43.6878425005074,19708,30322,35707,-66682
135,AMBEV SA,7.349891248351878,5638995,7.409981217321706,5917154,7.040016687446963,5062488,6.549885947362809,4821458,278159,-854666,-241030
136,AMC NETWORKS INC,68.10862527015368,117063,73.08045303337208,1552645,61.48986324961168,2102005,58.42023007176189,2895966,1435582,549360,793961
137,AMDOCS LTD,41.239627942756094,213193,46.46063015844328,331980,46.33038166247061,577526,45.88016982995625,467762,118787,245546,-109764
138,AMEDISYS INC,14.622149197590186,96771,14.903170711550649,36301,16.736764514590472,46126,20.15355086372361,13546,-60470,9825,-32580
139,AMERCO,237.82416192283364,9486,232.06660973526903,4684,290.7277907277907,7722,261.90285026093943,12455,-4802,3038,4733
140,AMEREN CORP,36.15962637793897,1228193,41.2000398563962,1655945,40.88041742199049,1614098,38.33009724095113,1264385,427752,-41847,-349713
141,AMERICA MOVIL SAB DE CV,23.37004514843864,4905596,19.87985024813536,5685405,20.74997665319237,6606899,25.199981972784858,5036829,779809,921494,-1570070
142,AMERICAN AIRLS GROUP INC,25.250049687210225,1564789,35.44999011873357,1452243,42.95966281812272,1489048,35.48015822426836,1670793,-112546,36805,181745
143,AMERICAN APPAREL INC,1.2020033388981637,14975,0.5094243504839532,51038,0.9006767942768423,233158,0.8187712201916103,224727,36063,182120,-8431
144,AMERICAN ASSETS TR INC,31.42725163286353,186176,33.74307304785894,198500,34.54989277278702,202374,32.972553317806096,218970,12324,3874,16596
145,AMERICAN AXLE & MFG HLDGS IN,20.450200500109013,2343889,18.52018195014336,2226544,18.889572534559765,2259130,16.770378051543922,2144734,-117345,32586,-114396
146,AMERICAN CAMPUS CMNTYS INC,32.209837623157966,3250094,37.34985113445809,3214310,38.24015823573766,2298343,36.44973126744512,1867284,-35784,-915967,-431059
147,AMERICAN CAP LTD,15.641356778139668,686833,15.795995549829366,853001,15.29024712104289,1479963,14.159619103876956,1266277,166168,626962,-213686
148,AMERICAN CAP MTG INVT CORP,17.460022211402222,365578,18.770086362419786,489449,20.01907876805669,293520,18.81444690384927,37046,123871,-195929,-256474
149,AMERICAN CAPITAL AGENCY CORP,19.289573713418648,2077288,21.489588992416852,1367639,23.409707132280825,1248072,21.249892570518078,1466078,-709649,-119567,218006
150,AMERICAN EAGLE OUTFITTERS NE,14.400621629095768,589419,12.239164226981364,728236,11.219203442043566,546652,14.51861710172106,363671,138817,-181584,-182981
151,AMERICAN ELEC PWR INC,46.74042780801632,1615304,50.66026772499534,1459408,55.769463542776435,1999302,52.21062389832132,1816546,-155896,539894,-182756
152,AMERICAN EQTY INVT LIFE HLD,26.379879511797967,3936485,23.619953493049866,3937476,24.59999572423316,3975895,22.88023275099934,3943098,991,38419,-32797
153,AMERICAN EXPRESS CO,90.73018684236536,3692685,90.02999550135435,2943108,94.86974222445784,2934297,87.5397057071237,2257547,-749577,-8811,-676750
154,AMERICAN FINL GROUP INC OHIO,57.719650635311105,177236,57.70807757813372,206089,59.559703148766644,184739,57.889969078790884,197599,28853,-21350,12860
155,AMERICAN HOMES 4 RENT,16.207314959265034,46152,16.709742443444334,200422,17.759276255408412,152540,16.891965039658768,277114,154270,-47882,124574
156,AMERICAN INTL GROUP INC,51.018122279050466,14217693,49.983702350493964,16572942,54.536697518231705,14735179,53.98459427681983,12545857,2355249,-1837763,-2189322
157,AMERICAN MIDSTREAM PARTNERS,27.08023774145617,673000,25.459955657551827,1028360,28.84020228930337,1051761,29.07028317806275,980761,355360,23401,-71000
158,AMERICAN NATL INS CO,114.58603685439915,7706,113.06256860592757,5466,114.23319327731093,7616,112.38358922728419,7946,-2240,2150,330
159,AMERICAN PUBLIC EDUCATION IN,43.46964310047941,80723,35.07141816061798,54888,34.376549815979736,76622,26.9854155586037,35723,-25835,21734,-40899
160,AMERICAN RAILCAR INDS INC,45.739696656872866,12593,70.02474207553335,21421,67.7576361476258,26093,73.8961865632776,17281,8828,4672,-8812
161,AMERICAN RLTY CAP PPTYS INC,12.85215447854017,459067,14.020040174760569,2796283,12.529787888272082,2913936,12.05996390861647,3807557,2337216,117653,893621
162,AMERICAN SCIENCE & ENGR INC,71.9053850358616,60371,67.17074601570901,30683,69.593147751606,36426,55.38902645640558,30692,-29688,5743,-5734
163,AMERICAN SOFTWARE INC,9.863461216284136,47752,10.177906495655774,24170,9.866511897852584,31014,8.800184056137121,17386,-23582,6844,-13628
164,AMERICAN STS WTR CO,28.73192076870832,179626,32.289109150980565,131964,33.223243190216145,91743,30.43308035176485,66408,-47662,-40221,-25335
165,AMERICAN SUPERCONDUCTOR CORP,1.638121921460527,265548,1.610628075971981,289949,1.6298670275385807,437459,1.409609748372978,385213,24401,147510,-52246
166,AMERICAN TOWER CORP NEW,79.81992534710331,11272436,81.87000025387543,9532234,90.15889826468735,9177885,93.72304268099151,8040488,-1740202,-354349,-1137397
167,AMERICAN WOODMARK CORP,39.53770221137126,56933,33.68105908219114,21377,31.858737796048022,21407,36.84481226913545,21387,-35556,30,-20
168,AMERICAN WTR WKS CO INC NEW,42.262430927653654,238699,45.39995750538111,216498,49.45364198473897,248738,48.22887151851627,313049,-22201,32240,64311
169,AMERICAS CAR MART INC,42.24350464631139,21092,36.66338582677165,8128,39.56880152187698,7885,39.6663577386469,5395,-12964,-243,-2490
170,AMERIGAS PARTNERS L P,44.5688979400522,123741,42.250166186572116,361040,45.389524761780564,483063,45.618971061093255,452816,237299,122023,-30247
171,AMERIPRISE FINL INC,115.05018792532505,1454035,110.0701967660426,1655062,119.99955335445496,1701573,123.3801266090172,1358671,201027,46511,-342902
172,AMERIS BANCORP,21.114585249218322,27185,23.28279702970297,25856,21.547140148887962,21627,21.967069329824987,25083,-1329,-4229,3456
173,AMERISAFE INC,42.24394004671096,44101,43.906747350379526,114356,40.671836599559406,235593,39.10996567958254,391895,70255,121237,156302
