,Company,0214price,0214amt,0514price,0514amt,0814price,0814amt,1114price,1114amt,0214-0514chng,0514-0814chng,0814-1114chng
174,AMERISOURCEBERGEN CORP,70.30940480376775,1077779,65.5893850499064,1058281,72.66000470907605,577608,77.29982326333761,667660,-19498,-480673,90052
175,AMETEK INC NEW,52.67008659497779,1671575,51.48992679766546,2045973,52.27975491651489,2428397,50.210173165834114,2752968,374398,382424,324571
176,AMGEN INC,114.07977614809376,3459430,123.33969280304464,3037465,118.370021211138,3504291,140.45990450509194,6226510,-421965,466826,2722219
177,AMICUS THERAPEUTICS INC,2.3417866118345896,52524,2.0659280784598617,44048,3.3471469556901496,62740,5.948454311776347,87922,-8476,18692,25182
178,AMKOR TECHNOLOGY INC,6.1285358246966375,293708,6.859678947300121,385295,11.181878699555604,222324,8.41348083685233,186843,91587,-162971,-35481
179,AMN HEALTHCARE SERVICES INC,14.698937426210152,304920,13.74432636395122,109718,12.295276976808367,105081,15.696438451905994,34339,-195202,-4637,-70742
180,AMPCO-PITTSBURGH CORP,19.46137212502457,15261,18.867043384859667,21413,22.916198607054596,17804,20.019269885451237,18682,6152,-3609,878
181,AMPHENOL CORP NEW,89.1801410356863,2414708,91.64990444990444,2289375,96.33983164241799,2361640,99.86029575125866,2124488,-125333,72265,-237152
182,AMSURG CORP,45.92490050181693,86685,47.15672676837725,4326,45.52673372154579,13223,50.05308943240877,53683,-82359,8897,40460
183,AMTRUST FINL SVCS INC,32.69214925478534,254893,37.60636571887971,206481,41.80967624830864,242408,39.823643914997454,222958,-48412,35927,-19450
184,ANADARKO PETE CORP,79.3202173103587,4957702,84.75996597031478,4000037,109.4701753771127,4451322,101.44000575937834,3722624,-957665,451285,-728698
185,ANADIGICS INC,1.8311705927567028,44234,1.6982974567995583,47106,0.8105435030695312,341746,0.6739399321302845,252248,2872,294640,-89498
186,ANALOG DEVICES INC,50.93007220245218,1387903,53.139832625530865,1152864,54.06997886861292,3852563,49.49001820964553,4207111,-235039,2699699,354548
187,ANALOGIC CORP,88.5636089670654,32519,82.0,3500,78.28425821064552,7064,64.01306995395811,6733,-29019,3564,-331
188,ANDERSONS INC,89.16839449426695,80062,59.24337820234477,110544,51.56876621844775,63585,62.88680375324417,35063,30482,-46959,-28522
189,ANGIES LIST INC,15.129001756044849,14806,12.178469941321914,81291,11.95630453606874,30026,6.365528216427959,40845,66485,-51265,10819
190,ANGIODYNAMICS INC,17.15918575207594,141382,15.748838274558967,165917,16.331698487500972,218777,13.720604365992685,157719,24535,52860,-61058
191,ANGLOGOLD ASHANTI LTD,11.721527140591485,164569,17.079708492471298,732331,17.21022038975601,3084853,12.000097479214586,2954476,567762,2352522,-130377
192,ANHEUSER BUSCH INBEV SA/NV,106.46046893506005,1282523,105.29858609502888,625431,114.93919267819305,561610,110.85118118268694,578361,-657092,-63821,16751
193,ANIKA THERAPEUTICS INC,38.16099557613594,24187,41.09765940274414,30975,46.32675438596491,40128,36.660389202762076,47790,6788,9153,7662
194,ANIXTER INTL INC,89.84103399935606,798221,101.5187802595412,678505,100.07001800462976,699820,84.83987075135997,586776,-119716,21315,-113044
195,ANN INC,36.56177936472513,134430,41.48137347816578,109736,41.141331641688474,151332,41.13146792333096,170186,-24694,41596,18854
196,ANNALY CAP MGMT INC,9.970070035528435,2379221,10.97044645761659,811544,11.430749405593769,1101940,10.679929064664098,1514055,-1567677,290396,412115
197,ANSYS INC,87.19889424558073,240198,77.01736377299325,230883,75.82086185103229,301421,75.6701347130185,371679,-9315,70538,70258
198,ANTARES PHARMA INC,4.474033807204263,130978,3.5010452395932696,98542,2.665048859229086,92306,1.8295105275262928,95654,-32436,-6236,3348
199,ANTERO RES CORP,63.44053122079899,1209290,62.59977607587877,939604,65.62962849271337,260614,54.88782619801053,70471,-269686,-678990,-190143
200,ANWORTH MORTGAGE ASSET CP,4.209605554492524,109749,4.959302016279193,939850,5.1587129741901965,184736,4.789567482349716,816984,830101,-755114,632248
201,AOL INC,46.61862254869317,345377,43.7707466170519,1110422,39.790119655609814,2737941,44.94984683100538,2712690,765045,1627519,-25251
202,AON PLC,83.89041647956368,1498729,84.27989426004241,878003,90.09070043160091,856115,87.66890952032861,521211,-620726,-21888,-334904
203,APACHE CORP,85.93983655303045,2427454,82.95025984285087,4326846,100.61995790908342,4155766,93.87006486806055,2743569,1899392,-171080,-1412197
204,APARTMENT INVT & MGMT CO,25.909567094111342,1015648,30.21935144391131,897008,32.270209583377145,1179292,31.81957260975084,1150424,-118640,282284,-28868
205,APCO OIL & GAS INTERNATIONAL,15.576070600675099,24589,14.465323779910774,29588,14.423463238248294,24890,12.868495257626247,19505,4999,-4698,-5385
206,API TECHNOLOGIES CORP,3.4104085669463204,14661,2.922203230964327,18137,2.736238330748295,68342,2.3459478657482267,106993,3476,50205,38651
207,APOGEE ENTERPRISES INC,35.913095714857825,99880,33.24590982889971,40035,34.86560186988703,15402,39.77599080987938,13928,-59845,-24633,-1474
208,APOLLO COML REAL EST FIN INC,16.250118757522618,3178746,16.629904746690915,3417939,16.49011952040491,3435815,15.709775536734538,3203865,239193,17876,-231950
209,APOLLO ED GROUP INC,27.32010456882732,2302407,34.24033674380765,678498,31.249337728227683,707791,25.15007997341144,770256,-1623909,29293,62465
210,APOLLO GLOBAL MGMT LLC,31.610001350410837,770136,31.800566834403377,778005,27.72035962522507,998039,23.83997909051668,1767619,7869,220034,769580
211,APOLLO INVT CORP,8.474797841148899,535470,8.310291370475918,2831790,8.610224409843289,3183773,8.169940727880991,2952653,2296320,351983,-231120
212,APOLLO RESIDENTIAL MTG INC,14.784658238697233,23335,16.23090222645637,28341,16.716133049744045,123653,15.429211562669625,173178,5006,95312,49525
213,APPLE INC,561.0200507726131,6984868,536.7399898486592,8392980,92.92999525990987,55264772,100.7499786349577,56739883,1408112,46871792,1475111
214,APPLIED INDL TECHNOLOGIES IN,49.08988535441714,1056735,48.239812691614034,911011,50.73046479381375,920236,45.6499912474673,993998,-145724,9225,73762
215,APPLIED MATLS INC,17.679996776500968,17422062,20.41498277139039,11309096,22.549926593327037,10342384,21.609969095408573,8087795,-6112966,-966712,-2254589
216,APPROACH RESOURCES INC,19.300520931322808,1296908,20.910468059568576,1239714,22.73161008503149,141477,14.499741076052215,56001,-57194,-1098237,-85476
217,APTARGROUP INC,67.8034832336886,96175,66.09490732537122,141085,67.01086721219205,92388,60.705910891889715,98936,44910,-48697,6548
218,AQUA AMERICA INC,23.587947122285275,404783,25.06811415827732,380244,26.221075690545398,257007,23.529411764705877,463930,-24539,-123237,206923
219,ARATANA THERAPEUTICS INC,19.09854851031321,35343,18.55888338902988,318392,15.610363215681861,302107,10.041751553107472,318072,283049,-16285,15965
220,ARBOR RLTY TR INC,6.658729719253558,72236,6.917337813133059,60717,6.948948392476606,32379,6.7633847901285575,19369,-11519,-28338,-13010
221,ARC DOCUMENT SOLUTIONS INC,8.2092346688942,34717,7.439666122300853,16533,5.871931156669197,19755,8.11611374407583,16880,-18184,3222,-2875
222,ARCELORMITTAL SA LUXEMBOURG,19.711641189002307,9308611,17.206582867486507,12958122,15.623030421265902,14311436,14.377210256021007,12700169,3649511,1353314,-1611267
223,ARCH CAP GROUP LTD,59.691536130779674,124423,57.54083797006703,235259,57.43818931447353,222413,54.71815964079054,254559,110836,-12846,32146
224,ARCH COAL INC,4.449714329065472,3308527,4.8197143673338845,2782945,3.6499119076986255,3058156,2.1201290130742554,2636632,-525582,275211,-421524
225,ARCHER DANIELS MIDLAND CO,43.399919903884665,3121250,43.39002378969715,3104285,44.10982776165483,3185934,51.0999534339083,2052996,-16965,81649,-1132938
226,ARCOS DORADOS HOLDINGS INC,12.119943197895413,1141507,10.079611912739573,1080994,11.200371987213865,1079607,5.9798869623579956,1451198,-60513,-1387,371591
227,ARENA PHARMACEUTICALS INC,5.8501030960791525,500504,6.299813184875287,1394962,5.860966898997733,809764,4.192069171764657,190598,894458,-585198,-619166
228,ARES CAP CORP,17.769725937632504,856119,17.619628285354775,1954241,17.859734541142842,2556253,16.160088470891555,2445098,1098122,602012,-111155
229,ARGO GROUP INTL HLDGS LTD,46.488982582944345,99615,45.8440962750163,41423,51.10600069486955,120886,50.3124436464565,127543,-58192,79463,6657
230,ARIAD PHARMACEUTICALS INC,6.8200655683496745,919346,8.060961488177506,401565,6.368739864445543,491463,5.399302940859075,843257,-517781,89898,351794
231,ARM HLDGS PLC,54.728676221802864,286687,50.97286118262778,236930,45.23906491813961,122770,43.691415763441455,252521,-49757,-114160,129751
232,ARMOUR RESIDENTIAL REIT INC,4.009421423019699,1184959,4.119649393724076,389839,4.330418210042573,260252,3.849080903875425,409968,-795120,-129587,149716
233,ARMSTRONG WORLD INDS INC NEW,57.609897415084035,2143590,53.25011040020972,2647187,57.43006358528553,2838078,56.00015269298621,2567243,503597,190891,-270835
234,ARQULE INC,2.1493148348211752,263805,2.052051719672469,150581,1.5502277104866584,300601,1.1215689146875172,218444,-113224,150020,-82157
235,ARRAY BIOPHARMA INC,5.015173295000799,31305,4.700757376685411,342498,4.561706324744175,283885,3.569126729909088,308759,311193,-58613,24874
236,ARRIS GROUP INC NEW,24.34023089948535,571071,28.18131727835938,148822,32.52990546775354,381034,28.35333659566796,310616,-422249,232212,-70418
237,ARROW ELECTRS INC,54.25114757754279,269045,59.361975774941385,245696,60.40985523461896,436154,55.35119156183307,422177,-23349,190458,-13977
238,ARROW FINL CORP,26.54966392830471,26780,26.42731488885335,25012,25.929969585900327,25646,25.09793506407277,15061,-1768,634,-10585
239,ARROWHEAD RESH CORP,10.861077589266698,14087,16.4426383244764,15995,14.33981004407474,16109,14.775376071533199,78509,1908,114,62400
240,ARTISAN PARTNERS ASSET MGMT,65.16647999185419,9821,64.23555697414618,37596,56.676060118089104,149040,52.04685339715202,142487,27775,111444,-6553
241,ARUBA NETWORKS INC,17.902680796928337,173717,18.749362220921306,186193,17.52127295769548,347977,21.58650133584229,112663,12476,161784,-235314
242,ASBURY AUTOMOTIVE GROUP INC,53.73984817980526,746541,55.310106954072225,801933,68.73911617326651,749966,64.41964060428393,871908,55392,-51967,121942
243,ASCENA RETAIL GROUP INC,21.159332164643022,309178,17.278893044581142,462819,17.099276298840252,469669,13.300654623827468,571626,153641,6850,101957
244,ASHFORD HOSPITALITY PRIME IN,18.194503344779,73099,15.116661189615511,24344,17.160338426729975,62761,15.231353522499056,50291,-48755,38417,-12470
245,ASHFORD HOSPITALITY TR INC,8.281293159944322,184633,11.267138267545516,132598,11.535214355348039,214387,10.217983651226158,174692,-52035,81789,-39695
246,ASHLAND INC NEW,97.03975012023052,1201858,99.48060801703394,1284964,108.7388390420678,274842,104.09857089304388,304106,83106,-1010122,29264
247,ASML HOLDING N V,93.70141956357666,332567,93.36001789623378,500664,93.27091535134392,494302,98.8194883505865,529855,168097,-6362,35553
248,ASPEN INSURANCE HOLDINGS LTD,41.310996760513255,331534,39.69790114428052,363722,45.42119522549297,700554,42.769977949591095,895675,32188,336832,195121
249,ASPEN TECHNOLOGY INC,41.802729044834315,320625,42.360504179720735,344401,46.399601945437006,365779,37.72119288382711,357889,23776,21378,-7890
250,ASSOCIATED BANC CORP,11.767838125665603,1201920,11.450417001365945,1080572,9.941980717286324,888153,9.733816034866212,902421,-121348,-192419,14268
251,ASSOCIATED ESTATES RLTY CORP,16.052817635719045,196601,16.94355049143255,114970,18.021145859263434,152654,17.508323843137937,115031,-81631,37684,-37623
252,ASSURANT INC,66.36930629148081,679983,64.95992978217282,829419,65.54955743474932,749494,64.29946483149092,731919,149436,-79925,-17575
253,ASSURED GUARANTY LTD,23.589943546883212,589870,25.31992804011381,1724294,24.500026809054628,6378442,22.16141341109381,617966,1134424,4654148,-5760476
254,ASTORIA FINL CORP,13.824130297055076,140479,13.818369897849234,116005,13.450941374559925,104528,12.393198946958249,105219,-24474,-11477,691
255,ASTRAZENECA PLC,59.36924912536149,197796,64.87991672522706,532214,74.30964517620328,330953,71.43982329075462,571334,334418,-201261,240381
256,ASTRONICS CORP,50.994466876028106,20061,63.38511448000499,16029,56.45779351118572,27401,47.669166337762576,22803,-4032,11372,-4598
257,AT&T INC,35.159975324140895,20167079,35.07005682821033,17722184,35.359979936900956,21101426,35.239993135095574,13302443,-2444895,3379242,-7798983
258,ATHENAHEALTH INC,134.44186646042795,7758,160.25869229856409,16854,125.13609911770227,26635,131.66901550231526,19868,9096,9781,-6767
259,ATHLON ENERGY INC,30.25428126621692,77080,35.452338608128976,154066,47.69996802338861,218910,58.23167724328413,121652,76986,64844,-97258
260,ATLANTIC PWR CORP,3.4821088521735977,165417,2.900450237254402,82401,4.103127423106746,61904,2.385693992265186,147127,-83016,-20497,85223
261,ATLANTIC TELE NETWORK INC,56.557185125268745,46979,65.92594971259753,31141,58.023774145616635,13460,53.89797882579403,10390,-15838,-17681,-3070
262,ATLAS ENERGY LP,46.85019113793186,2079650,43.039857678459214,1386157,44.87949624831709,1186934,44.00074784077668,599058,-693493,-199223,-587876
263,ATLAS PIPELINE PARTNERS LP,35.04999239865781,2946848,32.10987472699818,3086060,34.400108650707644,3306007,36.46003787479573,3605564,139212,219947,299557
264,ATLAS RESOURCE PARTNERS LP,20.47995003587935,1236087,20.89090286357792,557659,20.279910319994567,323818,19.461903928720442,74299,-678428,-233841,-249519
265,ATMEL CORP,7.830070256379924,760785,8.359989070429192,15539494,9.369957493979733,12687144,8.080019895180275,14809617,14778709,-2852350,2122473
266,ATMOS ENERGY CORP,45.4183701281003,183450,47.1287973755101,149972,53.39865670074379,219013,47.70061715746941,366033,-33478,69041,147020
267,ATOSSA GENETICS INC,2.3199230464550444,35346,1.697326710431071,40063,1.6922910740647392,27773,1.3474132798546048,63826,4717,-12290,36053
268,ATRION CORP,296.137339055794,3495,306.0635226179018,5195,326.0105448154657,5690,305.1691924434295,4817,1700,495,-873
269,ATWOOD OCEANICS INC,53.391566497893564,129365,50.38986655160723,454258,52.48027506745756,175666,43.68921524032317,369336,324893,-278592,193670
270,AU OPTRONICS CORP,3.1188296535630946,44568,3.481930888947508,75820,4.194975899452186,60787,4.188809002813379,15995,31252,-15033,-44792
271,AUDIENCE INC,11.637021404883932,33170,12.492680070271328,25615,11.926111908177905,11152,7.385764142520898,12321,-7555,-14463,1169
272,AURICO GOLD INC,3.661991294133905,477609,4.350165821913522,399525,4.2588941129211655,463031,3.489805691694772,196286,-78084,63506,-266745
273,AUTODESK INC,50.31837279061037,833771,49.18004037870933,1368543,56.37936002702711,905757,55.10022121190853,769398,534772,-462786,-136359
274,AUTOLIV INC,91.80189734574984,206499,100.3485309656358,126818,106.58069873368258,81891,91.91553427039936,77049,-79681,-44927,-4842
275,AUTOMATIC DATA PROCESSING IN,80.7990448844066,2024467,77.26009448303043,1758411,79.280218748124,2065572,83.07944279934145,2105238,-266056,307161,39666
276,AUTONATION INC,49.69027179335372,456045,53.22962526267746,420668,59.67921666753829,248579,50.30932487918717,363372,-35377,-172089,114793
277,AUTOZONE INC,477.9372807182221,239703,537.1003723742973,237127,536.2392634881448,194430,509.66073013759427,144192,-2576,-42697,-50238
278,AUXILIUM PHARMACEUTICALS INC,20.72959029820944,245398,27.179192538701333,433383,20.06023538913239,237734,29.85064472289927,587927,187985,-195649,350193
279,AVAGO TECHNOLOGIES LTD,52.88070573521089,404571,64.41112040564508,407647,72.0701906401238,770929,87.00147235117588,497164,3076,363282,-273765
280,AVALONBAY CMNTYS INC,118.23012947429876,5208833,131.32018035719344,5049757,142.19006053853388,4609626,140.9700901945859,4138275,-159076,-440131,-471351
281,AVANIR PHARMACEUTICALS INC,3.359932027266503,1085141,3.669991671397365,1553682,5.639954041832684,744155,11.92022131710947,880185,468541,-809527,136030
282,AVEO PHARMACEUTICALS INC,1.828609765676136,244448,1.492848845651227,220384,1.8302905393973885,195051,1.1122672311721862,195097,-24064,-25333,46
283,AVERY DENNISON CORP,50.18952559311085,978232,50.669538944620406,1314636,51.2499496095405,1314733,44.65002334635909,1120089,336404,97,-194644
284,AVG TECHNOLOGIES N V,17.210377600821992,171292,20.960445884816874,176189,20.13239466218346,237925,16.579464319443918,211768,4897,61736,-26157
285,AVIAT NETWORKS INC,2.254979746941161,95788,1.5841165909810964,75752,1.2818913787607922,144318,1.7985872387334465,344715,-20036,68566,200397
286,AVIS BUDGET GROUP,40.4303041558924,69997,48.69816779170685,49776,59.69184035503029,168549,54.89272755028946,170314,-20221,118773,1765
287,AVISTA CORP,28.18964572628131,173397,30.646081437638173,56092,33.514818814494845,133344,30.53304729240397,146366,-117305,77252,13022
288,AVIV REIT INC MD,23.700219932498044,952565,24.449569223768158,1006439,28.1702168540945,936805,26.350272100074537,892135,53874,-69634,-44670
289,AVIVA PLC,15.149546902226742,223241,16.02137730478901,258592,17.599204739105733,295752,16.93978346907402,305730,35351,37160,9978
290,AVNET INC,44.10855479765358,397882,46.53166960811634,387564,44.31045443803526,600874,41.50023030513543,662165,-10318,213310,61291
291,AVON PRODS INC,17.220549846630146,1400536,14.639941942418066,979717,14.610162461906734,1393619,12.600038535102188,1063965,-420819,413902,-329654
292,AVX CORP NEW,13.927956574503515,212594,13.184761682515607,68564,13.285886829699088,76999,13.281728573815224,71828,-144030,8435,-5171
293,AXCELIS TECHNOLOGIES INC,2.434364163894983,70655,2.151077331230057,139465,2.001478569754233,110918,1.9860363219426305,48841,68810,-28547,-62077
294,AXIALL CORP,47.43950959196263,854309,44.91992182542704,787980,47.268895280856846,684192,35.811436986206886,666854,-66329,-103788,-17338
295,AXIS CAPITAL HOLDINGS LTD,47.56889918603379,375077,45.8483941349357,367123,44.28021347723971,386177,47.329981978563964,379548,-7954,19054,-6629
296,AXOGEN INC,4.491988963647803,103295,3.0495183697177985,103295,2.7763853005822696,103732,2.444021133594508,111292,0,437,7560
297,AZZ INC,48.85290614372767,57929,44.671370219086526,26930,46.062923691986796,23012,41.74837118097286,15809,-30999,-3918,-7203
298,B & G FOODS INC NEW,33.90769571721425,126343,30.13134174607262,23298,32.68913829513909,638316,27.550041971220683,602794,-103045,615018,-35522
299,B2GOLD CORP,2.020097838164942,1241029,2.6902691877719422,994696,2.9201992761057443,1218410,2.0304568527918785,978105,-246333,223714,-240305
300,BABCOCK & WILCOX CO NEW,34.19055536188356,410201,33.20052645884895,279604,32.46120659661819,316162,27.68891340319912,226625,-130597,36558,-89537
301,BADGER METER INC,54.488076756674225,39293,55.10224639871058,129051,52.646845540246545,131005,50.44695705670157,107281,89758,1954,-23724
302,BAIDU INC,177.87796798997326,402124,152.27052706728418,535074,186.8106078385356,481493,218.2316822862533,343479,132950,-53581,-138014
303,BAKER HUGHES INC,55.260284984638176,1962983,65.01901747819615,1565665,74.45003070291294,2040523,65.06024265484528,1424987,-397318,474858,-615536
304,BALCHEM CORP,58.702630302750386,86606,52.12491195116224,29813,53.557259984131186,45372,56.56518707878225,21515,-56793,15559,-23857
305,BALL CORP,51.66137253736722,521647,54.80879558248772,446224,62.67962169645319,703562,63.26992670020922,1245979,-75423,257338,542417
306,BALLY TECHNOLOGIES INC,78.44783118405627,213250,66.2691487298817,144396,65.72622971952634,54301,80.68574103329237,68364,-68854,-90095,14063
307,BALTIC TRADING LIMITED,6.435224386113463,70860,6.302766864498872,59815,5.980796687256831,203819,4.102764481781771,10237,-11045,144004,-193582
308,BANCFIRST CORP,56.035348463546896,34853,56.62213571618154,22606,61.89936425016017,20291,62.564632885212,11604,-12247,-2315,-8687
309,BANCO BILBAO VIZCAYA ARGENTA,12.3898367589617,1062968,12.010700313312348,1270617,12.769947872135036,1341509,12.000182268251375,1558143,207649,70892,216634
310,BANCO BRADESCO S A,12.53850752088258,2790364,13.677541447942692,2413811,14.520611249184036,3514246,14.250116402867892,3492182,-376553,1100435,-22064
311,BANCO DE CHILE,87.75470972702807,10404,75.28886174811578,62227,80.10714873621356,66823,73.96527765562611,56851,51823,4596,-9972
312,BANCO MACRO SA,24.288440133566546,25156,28.165086447295035,25102,36.03312361674085,40213,39.59959707882145,47652,-54,15111,7439
313,BANCO SANTANDER BRASIL S A,6.101438564529157,116366,5.569266495433504,397898,6.919762793242664,1622888,6.5405039673589895,2097239,281532,1224990,474351
314,BANCO SANTANDER CHILE NEW,23.565876217652267,40652,23.441403911518346,202121,26.453561090662195,223864,22.087082542215864,218046,161469,21743,-5818
315,BANCO SANTANDER SA,9.069715931588233,2338662,9.579812203142485,2052963,10.420054988388232,6827987,9.500012161512368,10689460,-285699,4775024,3861473
316,BANCOLOMBIA S A,49.01190208847968,17812,56.478802365077364,158980,57.79761265656146,214213,56.721209499533465,279719,141168,55233,65506
317,BANCORPSOUTH INC,25.41977489868766,2865643,24.96009820448145,3212888,24.57007470489068,3479558,20.139893519727607,3067047,347245,266670,-412511
318,BANK HAWAII CORP,59.140839544919565,81568,60.60415487495546,95406,58.68655507559395,148160,56.80959892920312,104595,13838,52754,-43565
319,BANK MONTREAL QUE,66.66026219097114,968073,67.01042144413832,1194844,73.58873833478489,773882,73.62058900003434,1019185,226771,-420962,245303
320,BANK MUTUAL CORP NEW,7.008075788165864,154536,6.349710294467815,12599,5.805781335940843,16363,6.438735432361084,15531,-141937,3764,-832
321,BANK N S HALIFAX,62.5489630928137,1058195,58.019588809999135,1474209,66.60050544437472,682172,61.85015205562161,539934,416014,-792037,-142238
322,BANK NEW YORK MELLON CORP,34.939794709117486,4154203,35.289901955905044,3516275,37.47986901243801,3443075,38.72984422584123,2796035,-637928,-73200,-647040
323,BANK OF THE OZARKS INC,56.58989331002422,1495267,68.06025054348156,1485331,33.44986266928725,2882822,31.519866961810934,2776947,-9936,1397491,-105875
324,BANKFINANCIAL CORP,9.155345540460722,27088,9.985951323233474,26337,11.1731843575419,27745,10.371610622761732,21501,-751,1408,-6244
325,BANKRATE INC DEL,17.939402903212887,324537,16.945897622673993,151010,17.529902337320312,36452,11.362019914651494,56240,-173527,-114558,19788
326,BANKUNITED INC,32.91624792990701,141298,34.772671073120854,149629,33.475254872856524,76803,30.49102428722281,189400,8331,-72826,112597
327,BANNER CORP,44.82008375553401,910507,41.21023964501101,1020426,39.630332295095855,1015182,38.46944739611771,987199,109919,-5244,-27983
328,BARCLAYS BANK PLC,31.576855562547607,150965,34.38738132615684,133770,28.131064759859058,53073,29.04685022763305,68751,-17195,-80697,15678
329,BARCLAYS BK PLC,31.502982098943487,1417961,36.46986349378419,1378179,22.4856360167566,543547,27.59225829528243,357854,-39782,-834632,-185693
330,BARCLAYS PLC,18.128172535418752,475172,15.70063899825728,743664,14.61013679076693,892531,14.81046211783141,1082343,268492,148867,189812
331,BARD C R INC,133.9399585811102,4695925,147.97987353547217,3248658,143.00960001947476,2300412,142.70966206651585,571503,-1447267,-948246,-1728909
332,BARNES & NOBLE INC,14.950289932554696,778112,20.899147234446612,219052,22.79177429635345,149045,19.73618180514732,139490,-559060,-70007,-9555
333,BARNES GROUP INC,38.310229563974865,1755197,38.470147282489314,1438596,38.539814627887814,1282933,30.35028661769609,1208753,-316601,-155663,-74180
334,BARRETT BILL CORP,26.780279975654288,299026,25.600261669588896,262927,26.782893816102533,250085,22.04113559530889,373302,-36099,-12842,123217
335,BARRETT BUSINESS SERVICES IN,92.72947184518209,22323,59.569722596533616,43042,46.977901361042,20499,39.487557992408256,18968,20719,-22543,-1531
336,BARRICK GOLD CORP,17.629904286275742,6297425,17.830033654784447,7383497,18.299813356234452,6670997,14.66002645509232,5623114,1086072,-712500,-1047883
337,BASIC ENERGY SVCS INC NEW,15.777664585710015,237551,27.41376865898365,98746,29.222149514254852,258263,21.69144732435872,238896,-138805,159517,-19367
338,BAXTER INTL INC,69.5502795292255,1819130,73.5800677813917,1728498,72.2996308652214,1598874,71.76977764682198,1296451,-90632,-129624,-302423
339,BAYTEX ENERGY CORP,39.158344481431925,96429,41.13319042929146,69044,46.15109899029253,246408,37.859105467670354,615070,-27385,177364,368662
340,BAZAARVOICE INC,7.914865314266713,15035,7.2898899506997825,42799,7.886699301284464,47802,7.398076500109973,50013,27764,5003,2211
341,BB&T CORP,37.320015203180034,2215326,40.169742362351954,2241986,39.43000481235004,2366827,37.209957976488106,1879900,26660,124841,-486927
342,BBCN BANCORP INC,16.59028153377551,175645,17.142025846392574,123731,15.97494126859828,12770,14.583155316300664,35109,-51914,-110961,22339
343,BBVA BANCO FRANCES S A,6.9577859701957525,19259,8.388870764785384,21457,11.648706426421187,45842,12.915585218143615,64728,2198,24385,18886
344,BCE INC,43.288557625259934,641047,43.14043604087823,1248782,45.359812601191905,1161160,42.75976677837549,1485111,607735,-87622,323951
345,BE AEROSPACE INC,87.02823688584147,239474,86.7902383746813,296508,92.4911477072348,351039,83.94147082543105,405473,57034,54531,54434
346,BEACON ROOFING SUPPLY INC,40.28186678287117,94087,38.6579434338123,98893,33.124430988122214,94462,25.484110678847752,91508,4806,-4431,-2954
347,BEAZER HOMES USA INC,24.41965631594815,145948,20.07909471788245,255390,20.981398056583355,255941,16.781332638500047,360758,109442,551,104817
348,BEBE STORES INC,5.313496280552604,68693,6.123753325703413,67279,3.061786156598321,58136,2.3157439713465284,32387,-1414,-9143,-25749
